Hora,Min,Seg,Temp,Hum
02,58,13,26,73
02,58,18,26,73
03,01,30,26,71
03,01,35,26,72
03,01,40,26,72
03,01,45,26,71
03,01,50,26,71
03,19,13,24,48
03,19,18,24,48
03,19,23,24,48
03,19,28,24,48
03,19,33,24,47
03,19,38,24,47
03,21,44,24,49
03,21,49,24,49
03,21,54,24,49
03,21,59,24,49
03,22,04,24,49
03,22,09,24,50
03,22,14,24,54
03,22,19,24,56
03,22,25,24,58
03,22,30,24,61
03,22,35,24,63
03,22,40,24,66
03,22,45,24,68
03,22,50,24,68
03,22,55,24,69
03,23,00,24,69
03,23,05,24,69
03,23,10,25,70
03,23,15,25,69
03,23,20,25,69
03,23,25,26,69
03,23,30,26,69
03,23,35,26,69
03,23,40,26,69
03,23,45,27,69
03,23,50,27,69
03,23,55,27,69
03,24,01,27,69
03,24,06,27,69
03,24,11,27,68
03,24,16,27,69
03,24,21,28,67
03,24,26,28,66
03,24,31,28,66
03,24,36,28,66
03,24,41,29,66
03,24,46,29,65
03,24,51,30,64
03,24,56,30,64
03,25,01,30,63
03,25,06,30,62
03,25,11,30,61
03,25,16,30,60
03,25,21,30,60
03,25,26,30,59
03,25,31,29,60
03,25,37,29,60
03,25,42,29,60
03,25,47,29,60
03,25,52,29,60
03,25,57,29,59
03,26,02,29,59
03,26,07,29,60
03,26,12,29,60
03,26,17,28,60
03,26,22,28,61
03,26,27,28,61
03,26,32,28,61
03,26,37,28,62
03,26,42,28,62
03,26,47,28,62
03,26,52,28,62
03,26,57,28,62
03,27,02,28,62
03,27,07,28,62
03,27,12,28,62
03,27,18,27,63
03,27,23,27,63
03,27,28,27,63
03,27,33,27,64
03,27,38,27,64
03,27,43,27,64
03,27,48,28,63
03,27,53,28,63
03,27,58,28,63
03,28,03,28,63
03,28,08,28,63
03,28,13,28,63
03,28,18,27,64
03,28,23,27,64
03,28,28,27,64
03,28,33,27,64
03,28,38,27,64
03,28,43,27,64
03,28,48,27,64
03,28,54,27,64
03,28,59,27,64
03,29,04,27,64
03,29,09,27,64
03,29,14,27,64
03,29,19,27,64
03,29,24,27,64
03,29,29,27,64
03,29,34,27,64
03,29,39,27,64
03,29,44,27,64
03,29,49,27,64
03,29,54,27,64
03,29,59,27,65
03,30,04,27,65
03,30,09,27,65
03,30,14,27,65
03,30,19,27,65
03,30,24,27,65
03,30,30,27,65
03,30,35,27,65
03,30,40,27,65
03,30,45,27,65
03,30,50,27,66
03,30,55,27,66
03,31,00,27,66
03,31,05,27,65
03,31,10,27,65
03,31,15,27,65
03,31,20,27,66
03,31,25,27,66
03,31,30,27,66
03,31,35,27,66
03,31,40,27,66
03,31,45,27,66
03,31,50,27,67
03,31,55,27,67
03,32,00,27,67
03,32,06,27,66
03,32,11,27,66
03,32,16,27,66
03,32,21,27,66
03,32,26,27,65
03,32,31,27,62
03,32,36,27,62
03,32,41,27,62
03,32,46,27,63
03,32,51,27,63
03,32,56,26,64
03,33,01,26,64
03,33,06,26,65
03,33,11,26,66
03,33,16,26,66
03,33,21,26,66
03,33,26,26,66
